Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.05 14:00:00,1.36020,1.36063,1.35899,1.35972,1562,0,11
2025.06.05 13:45:00,1.36071,1.36100,1.35997,1.36019,1668,0,11
2025.06.05 13:30:00,1.36133,1.36147,1.35989,1.36073,2030,0,11
2025.06.05 13:15:00,1.35930,1.36161,1.35901,1.36130,1932,0,11
2025.06.05 13:00:00,1.35780,1.35944,1.35708,1.35932,1768,0,11
2025.06.05 12:45:00,1.35882,1.35913,1.35723,1.35783,2479,0,11
2025.06.05 12:30:00,1.35815,1.35941,1.35812,1.35882,1562,0,11
2025.06.05 12:15:00,1.35695,1.35834,1.35657,1.35820,1356,0,11
2025.06.05 12:00:00,1.35699,1.35721,1.35675,1.35696,734,0,11
2025.06.05 11:45:00,1.35712,1.35734,1.35654,1.35702,686,0,11
2025.06.05 11:30:00,1.35697,1.35741,1.35682,1.35710,674,0,11
2025.06.05 11:15:00,1.35751,1.35757,1.35697,1.35697,702,0,11
2025.06.05 11:00:00,1.35742,1.35782,1.35726,1.35751,631,0,11
2025.06.05 10:45:00,1.35777,1.35779,1.35691,1.35741,612,0,11
2025.06.05 10:30:00,1.35792,1.35843,1.35761,1.35776,632,0,11
2025.06.05 10:15:00,1.35771,1.35813,1.35759,1.35793,615,0,11
2025.06.05 10:00:00,1.35640,1.35789,1.35637,1.35771,696,0,11
2025.06.05 09:45:00,1.35648,1.35658,1.35597,1.35643,623,0,11
2025.06.05 09:30:00,1.35712,1.35726,1.35641,1.35644,637,0,11
2025.06.05 09:15:00,1.35694,1.35725,1.35647,1.35713,731,0,11
2025.06.05 09:00:00,1.35667,1.35705,1.35620,1.35694,798,0,11
2025.06.05 08:45:00,1.35654,1.35677,1.35623,1.35668,645,0,11
2025.06.05 08:30:00,1.35668,1.35693,1.35626,1.35655,633,0,11
2025.06.05 08:15:00,1.35681,1.35694,1.35620,1.35668,555,0,11
2025.06.05 08:00:00,1.35599,1.35726,1.35599,1.35681,844,0,11
2025.06.05 07:45:00,1.35662,1.35669,1.35564,1.35598,721,0,11
2025.06.05 07:30:00,1.35707,1.35723,1.35640,1.35663,711,0,11
2025.06.05 07:15:00,1.35604,1.35738,1.35604,1.35707,809,0,11
2025.06.05 07:00:00,1.35462,1.35611,1.35446,1.35602,940,0,11
2025.06.05 06:45:00,1.35494,1.35549,1.35462,1.35465,723,0,11
2025.06.05 06:30:00,1.35554,1.35587,1.35455,1.35496,804,0,11
2025.06.05 06:15:00,1.35546,1.35563,1.35526,1.35557,567,0,11
2025.06.05 06:00:00,1.35441,1.35566,1.35437,1.35546,760,0,11
2025.06.05 05:45:00,1.35452,1.35471,1.35420,1.35437,471,0,11
2025.06.05 05:30:00,1.35464,1.35488,1.35441,1.35452,505,0,11
2025.06.05 05:15:00,1.35464,1.35497,1.35448,1.35465,427,0,11
2025.06.05 05:00:00,1.35471,1.35478,1.35433,1.35465,405,0,11
2025.06.05 04:45:00,1.35482,1.35482,1.35426,1.35469,348,0,11
2025.06.05 04:30:00,1.35464,1.35485,1.35425,1.35482,405,0,11
2025.06.05 04:15:00,1.35476,1.35482,1.35434,1.35464,509,0,11
2025.06.05 04:00:00,1.35445,1.35499,1.35426,1.35479,558,0,11
2025.06.05 03:45:00,1.35551,1.35556,1.35437,1.35443,635,0,11
2025.06.05 03:30:00,1.35565,1.35606,1.35530,1.35550,693,0,11
2025.06.05 03:15:00,1.35476,1.35582,1.35466,1.35562,521,0,11
2025.06.05 03:00:00,1.35473,1.35514,1.35460,1.35476,469,0,11
2025.06.05 02:45:00,1.35457,1.35489,1.35439,1.35472,433,0,11
2025.06.05 02:30:00,1.35452,1.35488,1.35420,1.35458,506,0,11
2025.06.05 02:15:00,1.35427,1.35454,1.35401,1.35452,439,0,11
2025.06.05 02:00:00,1.35468,1.35475,1.35417,1.35425,548,0,11
2025.06.05 01:45:00,1.35465,1.35490,1.35449,1.35468,654,0,11
2025.06.05 01:30:00,1.35543,1.35563,1.35426,1.35465,736,0,11
2025.06.05 01:15:00,1.35591,1.35593,1.35494,1.35542,689,0,11
2025.06.05 01:00:00,1.35593,1.35655,1.35580,1.35591,747,0,11
2025.06.05 00:45:00,1.35536,1.35593,1.35519,1.35590,667,0,11
2025.06.05 00:30:00,1.35562,1.35576,1.35506,1.35535,621,0,11
2025.06.05 00:15:00,1.35556,1.35576,1.35494,1.35565,559,0,11
2025.06.05 00:00:00,1.35507,1.35557,1.35461,1.35556,681,0,11
2025.06.04 23:45:00,1.35514,1.35527,1.35497,1.35505,337,0,11
2025.06.04 23:30:00,1.35566,1.35566,1.35512,1.35513,330,0,11
2025.06.04 23:15:00,1.35525,1.35597,1.35524,1.35567,338,0,11
2025.06.04 23:00:00,1.35509,1.35526,1.35509,1.35525,138,0,11
2025.06.04 22:45:00,1.35529,1.35534,1.35501,1.35505,148,0,11
2025.06.04 22:30:00,1.35533,1.35535,1.35510,1.35526,140,0,11
2025.06.04 22:15:00,1.35511,1.35535,1.35508,1.35534,232,0,11
2025.06.04 22:00:00,1.35494,1.35521,1.35476,1.35511,182,0,11
2025.06.04 21:45:00,1.35517,1.35525,1.35433,1.35433,234,0,11
2025.06.04 21:30:00,1.35517,1.35529,1.35497,1.35519,230,0,11
2025.06.04 21:15:00,1.35519,1.35529,1.35500,1.35519,263,0,11
2025.06.04 21:00:00,1.35520,1.35539,1.35513,1.35517,144,0,11
2025.06.04 20:45:00,1.35510,1.35553,1.35509,1.35514,338,0,11
2025.06.04 20:30:00,1.35502,1.35533,1.35500,1.35510,198,0,11
2025.06.04 20:15:00,1.35479,1.35503,1.35447,1.35502,208,0,11
2025.06.04 20:00:00,1.35460,1.35494,1.35448,1.35479,287,0,11
2025.06.04 19:45:00,1.35501,1.35515,1.35455,1.35460,441,0,11
2025.06.04 19:30:00,1.35517,1.35526,1.35491,1.35501,326,0,11
2025.06.04 19:15:00,1.35540,1.35542,1.35494,1.35517,342,0,11
2025.06.04 19:00:00,1.35580,1.35596,1.35526,1.35540,372,0,11
2025.06.04 18:45:00,1.35591,1.35597,1.35567,1.35580,384,0,11
2025.06.04 18:30:00,1.35633,1.35633,1.35579,1.35592,422,0,11
2025.06.04 18:15:00,1.35623,1.35660,1.35609,1.35633,408,0,11
2025.06.04 18:00:00,1.35611,1.35647,1.35580,1.35623,584,0,11
2025.06.04 17:45:00,1.35669,1.35711,1.35590,1.35609,581,0,11
2025.06.04 17:30:00,1.35641,1.35689,1.35639,1.35669,446,0,11
2025.06.04 17:15:00,1.35690,1.35690,1.35617,1.35641,510,0,11
2025.06.04 17:00:00,1.35710,1.35735,1.35664,1.35690,539,0,11
2025.06.04 16:45:00,1.35581,1.35716,1.35569,1.35707,602,0,11
2025.06.04 16:30:00,1.35657,1.35672,1.35560,1.35581,744,0,11
2025.06.04 16:15:00,1.35637,1.35657,1.35572,1.35657,697,0,11
2025.06.04 16:00:00,1.35678,1.35691,1.35626,1.35639,923,0,11
2025.06.04 15:45:00,1.35595,1.35694,1.35586,1.35677,861,0,11
2025.06.04 15:30:00,1.35647,1.35678,1.35582,1.35592,950,0,11
2025.06.04 15:15:00,1.35662,1.35695,1.35627,1.35650,916,0,11
2025.06.04 15:00:00,1.35760,1.35772,1.35657,1.35660,964,0,11
2025.06.04 14:45:00,1.35748,1.35794,1.35716,1.35763,1147,0,11
2025.06.04 14:30:00,1.35557,1.35768,1.35538,1.35748,1161,0,11
2025.06.04 14:15:00,1.35585,1.35606,1.35513,1.35555,1281,0,11
2025.06.04 14:00:00,1.35381,1.35678,1.35381,1.35582,2018,0,11
2025.06.04 13:45:00,1.35393,1.35400,1.35334,1.35375,995,0,11
2025.06.04 13:30:00,1.35387,1.35400,1.35310,1.35390,882,0,11
2025.06.04 13:15:00,1.35362,1.35442,1.35347,1.35385,849,0,11
2025.06.04 13:00:00,1.35422,1.35484,1.35341,1.35362,1044,0,11
2025.06.04 12:45:00,1.35287,1.35438,1.35280,1.35424,1155,0,11
2025.06.04 12:30:00,1.35283,1.35317,1.35205,1.35289,1252,0,11
2025.06.04 12:15:00,1.35125,1.35365,1.35125,1.35280,1552,0,11
2025.06.04 12:00:00,1.35134,1.35201,1.35113,1.35125,624,0,11
2025.06.04 11:45:00,1.35170,1.35190,1.35127,1.35136,566,0,11
2025.06.04 11:30:00,1.35179,1.35229,1.35160,1.35171,564,0,11
2025.06.04 11:15:00,1.35257,1.35269,1.35178,1.35178,585,0,11
2025.06.04 11:00:00,1.35236,1.35262,1.35222,1.35257,551,0,11
2025.06.04 10:45:00,1.35209,1.35251,1.35197,1.35236,569,0,11
2025.06.04 10:30:00,1.35297,1.35302,1.35198,1.35211,689,0,11
2025.06.04 10:15:00,1.35331,1.35379,1.35285,1.35298,651,0,11
2025.06.04 10:00:00,1.35352,1.35381,1.35305,1.35331,883,0,11
2025.06.04 09:45:00,1.35321,1.35370,1.35299,1.35350,643,0,11
2025.06.04 09:30:00,1.35310,1.35393,1.35295,1.35320,792,0,11
2025.06.04 09:15:00,1.35345,1.35362,1.35296,1.35310,694,0,11
2025.06.04 09:00:00,1.35398,1.35424,1.35330,1.35344,672,0,11
2025.06.04 08:45:00,1.35381,1.35454,1.35379,1.35395,773,0,11
2025.06.04 08:30:00,1.35311,1.35453,1.35311,1.35380,873,0,11
2025.06.04 08:15:00,1.35328,1.35342,1.35287,1.35315,719,0,11
2025.06.04 08:00:00,1.35282,1.35349,1.35236,1.35329,822,0,11
2025.06.04 07:45:00,1.35352,1.35374,1.35248,1.35281,805,0,11
2025.06.04 07:30:00,1.35390,1.35412,1.35305,1.35350,779,0,11
2025.06.04 07:15:00,1.35266,1.35395,1.35254,1.35389,810,0,11
2025.06.04 07:00:00,1.35259,1.35307,1.35219,1.35270,914,0,11
2025.06.04 06:45:00,1.35199,1.35266,1.35159,1.35262,736,0,11
2025.06.04 06:30:00,1.35147,1.35205,1.35122,1.35199,893,0,11
2025.06.04 06:15:00,1.35105,1.35150,1.35075,1.35150,1084,0,11
2025.06.04 06:00:00,1.35094,1.35152,1.35042,1.35102,993,0,11
2025.06.04 05:45:00,1.35073,1.35128,1.35027,1.35098,717,0,11
2025.06.04 05:30:00,1.35110,1.35114,1.35007,1.35072,797,0,11
2025.06.04 05:15:00,1.35153,1.35153,1.35100,1.35109,408,0,11
2025.06.04 05:00:00,1.35116,1.35159,1.35108,1.35153,467,0,11
2025.06.04 04:45:00,1.35171,1.35175,1.35100,1.35115,503,0,11
2025.06.04 04:30:00,1.35237,1.35242,1.35161,1.35170,512,0,11
2025.06.04 04:15:00,1.35238,1.35248,1.35203,1.35238,485,0,11
2025.06.04 04:00:00,1.35162,1.35267,1.35121,1.35237,735,0,11
2025.06.04 03:45:00,1.35156,1.35195,1.35153,1.35160,454,0,11
2025.06.04 03:30:00,1.35241,1.35246,1.35133,1.35158,532,0,11
2025.06.04 03:15:00,1.35261,1.35270,1.35235,1.35242,394,0,11
2025.06.04 03:00:00,1.35226,1.35282,1.35214,1.35261,417,0,11
2025.06.04 02:45:00,1.35220,1.35249,1.35196,1.35226,409,0,11
2025.06.04 02:30:00,1.35280,1.35280,1.35199,1.35220,473,0,11
2025.06.04 02:15:00,1.35349,1.35355,1.35278,1.35279,466,0,11
2025.06.04 02:00:00,1.35348,1.35382,1.35332,1.35350,607,0,11
2025.06.04 01:45:00,1.35371,1.35403,1.35344,1.35349,665,0,11
2025.06.04 01:30:00,1.35335,1.35444,1.35298,1.35368,932,0,11
2025.06.04 01:15:00,1.35274,1.35367,1.35261,1.35332,649,0,11
2025.06.04 01:00:00,1.35260,1.35283,1.35149,1.35274,999,0,11
2025.06.04 00:45:00,1.35279,1.35301,1.35248,1.35261,651,0,11
2025.06.04 00:30:00,1.35295,1.35304,1.35259,1.35278,481,0,11
2025.06.04 00:15:00,1.35280,1.35318,1.35270,1.35292,525,0,11
2025.06.04 00:00:00,1.35304,1.35329,1.35259,1.35279,652,0,11
2025.06.03 23:45:00,1.35291,1.35311,1.35278,1.35303,384,0,11
2025.06.03 23:30:00,1.35239,1.35297,1.35239,1.35292,202,0,11
2025.06.03 23:15:00,1.35249,1.35252,1.35227,1.35239,212,0,11
2025.06.03 23:00:00,1.35206,1.35249,1.35206,1.35249,229,0,11
2025.06.03 22:45:00,1.35212,1.35223,1.35205,1.35206,189,0,11
2025.06.03 22:30:00,1.35199,1.35223,1.35176,1.35212,178,0,11
2025.06.03 22:15:00,1.35208,1.35216,1.35185,1.35200,201,0,11
2025.06.03 22:00:00,1.35173,1.35217,1.35157,1.35208,216,0,11
2025.06.03 21:45:00,1.35167,1.35174,1.35142,1.35150,150,0,11
2025.06.03 21:30:00,1.35138,1.35170,1.35134,1.35165,227,0,11
2025.06.03 21:15:00,1.35162,1.35166,1.35132,1.35139,154,0,11
2025.06.03 21:00:00,1.35161,1.35165,1.35145,1.35158,129,0,11
2025.06.03 20:45:00,1.35213,1.35223,1.35150,1.35159,316,0,11
2025.06.03 20:30:00,1.35182,1.35215,1.35180,1.35213,194,0,11
2025.06.03 20:15:00,1.35180,1.35197,1.35174,1.35181,201,0,11
2025.06.03 20:00:00,1.35153,1.35193,1.35133,1.35180,247,0,11
2025.06.03 19:45:00,1.35180,1.35181,1.35133,1.35154,413,0,11
2025.06.03 19:30:00,1.35202,1.35215,1.35178,1.35180,298,0,11
2025.06.03 19:15:00,1.35229,1.35229,1.35189,1.35202,294,0,11
2025.06.03 19:00:00,1.35241,1.35256,1.35222,1.35227,341,0,11
2025.06.03 18:45:00,1.35202,1.35254,1.35190,1.35241,502,0,11
2025.06.03 18:30:00,1.35239,1.35240,1.35178,1.35202,374,0,11
2025.06.03 18:15:00,1.35220,1.35251,1.35214,1.35238,374,0,11
2025.06.03 18:00:00,1.35267,1.35277,1.35205,1.35220,514,0,11
2025.06.03 17:45:00,1.35277,1.35286,1.35239,1.35269,495,0,11
2025.06.03 17:30:00,1.35264,1.35288,1.35238,1.35276,437,0,11
2025.06.03 17:15:00,1.35254,1.35277,1.35217,1.35261,583,0,11
2025.06.03 17:00:00,1.35183,1.35269,1.35159,1.35253,596,0,11
2025.06.03 16:45:00,1.35123,1.35200,1.35109,1.35181,653,0,11
2025.06.03 16:30:00,1.35206,1.35211,1.35098,1.35124,725,0,11
2025.06.03 16:15:00,1.35230,1.35246,1.35204,1.35208,622,0,11
2025.06.03 16:00:00,1.35199,1.35262,1.35198,1.35230,744,0,11
2025.06.03 15:45:00,1.35251,1.35315,1.35158,1.35197,836,0,11
2025.06.03 15:30:00,1.35183,1.35263,1.35168,1.35251,899,0,11
2025.06.03 15:15:00,1.35233,1.35235,1.35158,1.35184,957,0,11
2025.06.03 15:00:00,1.35283,1.35317,1.35200,1.35233,1133,0,11
2025.06.03 14:45:00,1.35317,1.35317,1.35204,1.35284,1159,0,11
2025.06.03 14:30:00,1.35238,1.35330,1.35238,1.35318,1221,0,11
2025.06.03 14:15:00,1.35088,1.35244,1.35079,1.35235,1265,0,11
2025.06.03 14:00:00,1.35127,1.35188,1.34958,1.35090,1706,0,11
2025.06.03 13:45:00,1.35214,1.35218,1.35110,1.35124,997,0,11
2025.06.03 13:30:00,1.35087,1.35218,1.35062,1.35215,1138,0,11
2025.06.03 13:15:00,1.35119,1.35162,1.35066,1.35088,848,0,11
2025.06.03 13:00:00,1.35034,1.35128,1.34998,1.35117,821,0,11
2025.06.03 12:45:00,1.35002,1.35036,1.34958,1.35031,816,0,11
2025.06.03 12:30:00,1.34991,1.35033,1.34934,1.35002,803,0,11
2025.06.03 12:15:00,1.34934,1.35000,1.34928,1.34989,715,0,11
2025.06.03 12:00:00,1.35031,1.35051,1.34913,1.34935,790,0,11
2025.06.03 11:45:00,1.35003,1.35034,1.34961,1.35029,651,0,11
2025.06.03 11:30:00,1.34955,1.35015,1.34945,1.35001,729,0,11
2025.06.03 11:15:00,1.35064,1.35064,1.34951,1.34955,791,0,11
2025.06.03 11:00:00,1.35056,1.35077,1.35029,1.35064,753,0,11
2025.06.03 10:45:00,1.35162,1.35162,1.35034,1.35052,777,0,11
2025.06.03 10:30:00,1.35113,1.35195,1.35058,1.35162,659,0,11
2025.06.03 10:15:00,1.35097,1.35123,1.35077,1.35110,516,0,11
2025.06.03 10:00:00,1.35148,1.35155,1.35076,1.35095,699,0,11
2025.06.03 09:45:00,1.35204,1.35211,1.35122,1.35143,616,0,11
2025.06.03 09:30:00,1.35204,1.35263,1.35180,1.35203,741,0,11
2025.06.03 09:15:00,1.35199,1.35224,1.35149,1.35202,695,0,11
2025.06.03 09:00:00,1.35149,1.35206,1.35082,1.35200,848,0,11
2025.06.03 08:45:00,1.35101,1.35184,1.35094,1.35149,587,0,11
2025.06.03 08:30:00,1.35086,1.35156,1.35081,1.35100,748,0,11
2025.06.03 08:15:00,1.35107,1.35113,1.35049,1.35087,788,0,11
2025.06.03 08:00:00,1.35194,1.35202,1.35097,1.35107,943,0,11
2025.06.03 07:45:00,1.35202,1.35237,1.35180,1.35194,741,0,11
2025.06.03 07:30:00,1.35293,1.35294,1.35168,1.35202,864,0,11
2025.06.03 07:15:00,1.35282,1.35326,1.35223,1.35293,1152,0,11
2025.06.03 07:00:00,1.35315,1.35320,1.35158,1.35281,1024,0,11
2025.06.03 06:45:00,1.35251,1.35364,1.35251,1.35319,875,0,11
2025.06.03 06:30:00,1.35350,1.35354,1.35250,1.35250,761,0,11
2025.06.03 06:15:00,1.35207,1.35371,1.35207,1.35350,736,0,11
2025.06.03 06:00:00,1.35241,1.35274,1.35147,1.35205,737,0,11
2025.06.03 05:45:00,1.35162,1.35253,1.35113,1.35238,610,0,11
2025.06.03 05:30:00,1.35161,1.35186,1.35136,1.35161,543,0,11
2025.06.03 05:15:00,1.35237,1.35259,1.35147,1.35161,491,0,11
2025.06.03 05:00:00,1.35237,1.35264,1.35208,1.35237,367,0,11
2025.06.03 04:45:00,1.35197,1.35255,1.35192,1.35236,416,0,11
2025.06.03 04:30:00,1.35187,1.35211,1.35171,1.35198,435,0,11
2025.06.03 04:15:00,1.35172,1.35205,1.35164,1.35186,366,0,11
2025.06.03 04:00:00,1.35179,1.35193,1.35149,1.35172,395,0,11
2025.06.03 03:45:00,1.35155,1.35183,1.35144,1.35179,434,0,11
2025.06.03 03:30:00,1.35180,1.35200,1.35145,1.35154,563,0,11
2025.06.03 03:15:00,1.35231,1.35252,1.35168,1.35181,442,0,11
